model_index,model_name,model_human_corr,beta_acc_15_30_45_60_75,model_base_model_name,model_layer_name,model_contourtraining_diet,model_contourtraining_finetune
84,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_3/model_alexnet-pytorch-regim-categ_layer_classifier-3_mode_finetune_beta_004.pt,0.6007076417722547,[0.9175 0.555  0.5    0.4975 0.495 ],alexnet-pytorch_regim_categ,classifier.3,4,True
85,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_4/model_alexnet-pytorch-regim-categ_layer_classifier-4_mode_finetune_beta_022.pt,0.749933333039979,[0.9875 0.9525 0.745  0.5075 0.4825],alexnet-pytorch_regim_categ,classifier.4,22,True
86,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_4/model_alexnet-pytorch-regim-categ_layer_classifier-4_mode_finetune_beta_015.pt,0.7147489423776702,[0.9875 0.8525 0.5525 0.4975 0.495 ],alexnet-pytorch_regim_categ,classifier.4,15,True
87,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_4/model_alexnet-pytorch-regim-categ_layer_classifier-4_mode_finetune_beta_024.pt,0.7636519329001713,[0.9875 0.955  0.795  0.525  0.485 ],alexnet-pytorch_regim_categ,classifier.4,24,True
88,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_4/model_alexnet-pytorch-regim-categ_layer_classifier-4_mode_finetune_beta_020.pt,0.7548332432374839,[0.985  0.9275 0.7125 0.5125 0.49  ],alexnet-pytorch_regim_categ,classifier.4,20,True
89,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_4/model_alexnet-pytorch-regim-categ_layer_classifier-4_mode_finetune_beta_075.pt,-0.015857056048696652,[0.5   0.48  0.505 0.5   0.49 ],alexnet-pytorch_regim_categ,classifier.4,75,True
90,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_4/model_alexnet-pytorch-regim-categ_layer_classifier-4_mode_finetune_beta_002.pt,0.562605590140458,[0.8975 0.5325 0.505  0.4975 0.495 ],alexnet-pytorch_regim_categ,classifier.4,2,True
91,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_4/model_alexnet-pytorch-regim-categ_layer_classifier-4_mode_finetune_beta_018.pt,0.7593588641733586,[0.9775 0.9075 0.63   0.505  0.485 ],alexnet-pytorch_regim_categ,classifier.4,18,True
92,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_4/model_alexnet-pytorch-regim-categ_layer_classifier-4_mode_finetune_beta_006.pt,0.624712182879771,[0.9425 0.59   0.5075 0.4925 0.4975],alexnet-pytorch_regim_categ,classifier.4,6,True
93,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_4/model_alexnet-pytorch-regim-categ_layer_classifier-4_mode_finetune_beta_028.pt,0.7419192091474925,[0.975  0.965  0.885  0.5975 0.4875],alexnet-pytorch_regim_categ,classifier.4,28,True
